year,region,source_region_label,territory_type,lat,lon,useful_supply_gwh,metric,data_quality,data_provenance,source_organization,source_document,source_url
2024,Chuy,Чуйское ПЭС,PES service territory,42.5079,74.7384,2898.908632,Useful electricity supply through PES networks,Official,"Official 2024 annual balance, section 6.3, row 1; published value 2 898 908.632 thousand kWh converted to GWh.","Kyrgyz Electricity Settlement Center","Brief electricity balance for the Kyrgyz power system for 2024","https://esep.energo.kg/wp-content/uploads/2025/03/2024-%D0%B3%D0%BE%D0%B4%D0%BE%D0%B2%D0%BE%D0%B9-%D0%B4%D0%BB%D1%8F-%D1%81%D0%B0%D0%B9%D1%82%D0%B0.pdf"
2024,Bishkek City,Бишкекское ПЭС,PES service territory,42.8746,74.5698,2809.976331,Useful electricity supply through PES networks,Official,"Official 2024 annual balance, section 6.3, row 2; published value 2 809 976.331 thousand kWh converted to GWh.","Kyrgyz Electricity Settlement Center","Brief electricity balance for the Kyrgyz power system for 2024","https://esep.energo.kg/wp-content/uploads/2025/03/2024-%D0%B3%D0%BE%D0%B4%D0%BE%D0%B2%D0%BE%D0%B9-%D0%B4%D0%BB%D1%8F-%D1%81%D0%B0%D0%B9%D1%82%D0%B0.pdf"
2024,Talas,Таласское ПЭС,PES service territory,42.5228,72.2427,408.650491,Useful electricity supply through PES networks,Official,"Official 2024 annual balance, section 6.3, row 3; published value 408 650.491 thousand kWh converted to GWh.","Kyrgyz Electricity Settlement Center","Brief electricity balance for the Kyrgyz power system for 2024","https://esep.energo.kg/wp-content/uploads/2025/03/2024-%D0%B3%D0%BE%D0%B4%D0%BE%D0%B2%D0%BE%D0%B9-%D1%81%D0%B0%D0%B9%D1%82%D0%B0.pdf"
2024,Issyk-Kul,Иссык-Кульское ПЭС,PES service territory,42.1859,77.5619,1069.629108,Useful electricity supply through PES networks,Official,"Official 2024 annual balance, section 6.3, row 4; published value 1 069 629.108 thousand kWh converted to GWh.","Kyrgyz Electricity Settlement Center","Brief electricity balance for the Kyrgyz power system for 2024","https://esep.energo.kg/wp-content/uploads/2025/03/2024-%D0%B3%D0%BE%D0%B4%D0%BE%D0%B2%D0%BE%D0%B9-%D1%81%D0%B0%D0%B9%D1%82%D0%B0.pdf"
2024,Naryn,Нарынское ПЭС,PES service territory,41.4287,75.9911,594.245387,Useful electricity supply through PES networks,Official,"Official 2024 annual balance, section 6.3, row 5; published value 594 245.387 thousand kWh converted to GWh.","Kyrgyz Electricity Settlement Center","Brief electricity balance for the Kyrgyz power system for 2024","https://esep.energo.kg/wp-content/uploads/2025/03/2024-%D0%B3%D0%BE%D0%B4%D0%BE%D0%B2%D0%BE%D0%B9-%D1%81%D0%B0%D0%B9%D1%82%D0%B0.pdf"
2024,Osh service territory,Ошское ПЭС,PES service territory,40.5283,72.7985,2226.188177,Useful electricity supply through PES networks,Official,"Official 2024 annual balance, section 6.3, row 6; published value 2 226 188.177 thousand kWh converted to GWh. The source does not report Osh City separately.","Kyrgyz Electricity Settlement Center","Brief electricity balance for the Kyrgyz power system for 2024","https://esep.energo.kg/wp-content/uploads/2025/03/2024-%D0%B3%D0%BE%D0%B4%D0%BE%D0%B2%D0%BE%D0%B9-%D1%81%D0%B0%D0%B9%D1%82%D0%B0.pdf"
2024,Batken,Баткенское ПЭС,PES service territory,40.0626,70.8194,738.447851,Useful electricity supply through PES networks,Official,"Official 2024 annual balance, section 6.3, row 7; published value 738 447.851 thousand kWh converted to GWh.","Kyrgyz Electricity Settlement Center","Brief electricity balance for the Kyrgyz power system for 2024","https://esep.energo.kg/wp-content/uploads/2025/03/2024-%D0%B3%D0%BE%D0%B4%D0%BE%D0%B2%D0%BE%D0%B9-%D1%81%D0%B0%D0%B9%D1%82%D0%B0.pdf"
2024,Jalal-Abad,Жалабатское ПЭС,PES service territory,41.1068,72.8988,1851.721149,Useful electricity supply through PES networks,Official,"Official 2024 annual balance, section 6.3, row 8; published value 1 851 721.149 thousand kWh converted to GWh.","Kyrgyz Electricity Settlement Center","Brief electricity balance for the Kyrgyz power system for 2024","https://esep.energo.kg/wp-content/uploads/2025/03/2024-%D0%B3%D0%BE%D0%B4%D0%BE%D0%B2%D0%BE%D0%B9-%D1%81%D0%B0%D0%B9%D1%82%D0%B0.pdf"
